loc	anim	val	additive	animate	set	animateColor	animateTransform
MaskElementXAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
MaskElementYAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
ContentScriptTypeAttribute	FALSE	content-type	FALSE	FALSE	FALSE	FALSE	FALSE
OnAbortEventAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
OnActivateEventAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
OnBeginEventAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
OnClickEventAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
OnEndEventAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
OnErrorEventAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
OnFocusInEventAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
OnFocusOutEventAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
OnLoadEventAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
OnMouseDownEventAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
OnMouseMoveEventAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
OnMouseOutEventAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
OnMouseOverEventAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
OnMouseUpEventAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
OnRepeatEventAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
OnResizeEventAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
OnScrollEventAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
OnUnloadEventAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
OnZoomEventAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
ScriptElementTypeAttribute	FALSE	content-type	FALSE	FALSE	FALSE	FALSE	FALSE
ScriptElementHrefAttribute	FALSE	<iri>	FALSE	FALSE	FALSE	FALSE	FALSE
CircleElementCXAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
EllipseElementCXAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
CircleElementCYAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
EllipseElementCYAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
RectElementHeightAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
PolygonElementPointsAttribute	TRUE	<list-of-points>	FALSE	TRUE	TRUE	FALSE	FALSE
PolylineElementPointsAttribute	TRUE	<list-of-points>	FALSE	TRUE	TRUE	FALSE	FALSE
CircleElementRAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
EllipseElementRXAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
RectElementRXAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
EllipseElementRYAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
RectElementRYAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
RectElementWidthAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
RectElementXAttribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
LineElementX1Attribute	TRUE	<coordinate>	TRUE	TRUE	TRUE	FALSE	FALSE
