loc	anim	additive	animate	set	animateColor	animateTransform
RadialGradientElementGradientTransformAttribute	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
LinearGradientElementGradientUnitsAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
RadialGradientElementGradientUnitsAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
PatternElementHeightAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
StopElementOffsetAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
PatternElementPatternContentUnitsAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
PatternElementPatternTransformAttribute	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
PatternElementPatternUnitsAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
RadialGradientElementRAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
LinearGradientElementSpreadMethodAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
RadialGradientElementSpreadMethodAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
PatternElementWidthAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
PatternElementXAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
LinearGradientElementX1Attribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
LinearGradientElementX2Attribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
LinearGradientElementHrefAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
PatternElementHrefAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
RadialGradientElementHrefAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
PatternElementYAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
LinearGradientElementY1Attribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
LinearGradientElementY2Attribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
DAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
PathLengthAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
AltGlyphElementDXAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
GlyphRefElementDXAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
TextElementDXAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
TSpanElementDXAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
AltGlyphElementDYAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
GlyphRefElementDYAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
TextElementDYAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
TSpanElementDYAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
AltGlyphElementFormatAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
GlyphRefElementFormatAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
AltGlyphElementGlyphRefAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
GlyphRefElementGlyphRefAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
TextElementLengthAdjustAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
TextPathElementMethodAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
AltGlyphElementRotateAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
TextElementRotateAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
TSpanElementRotateAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
TextPathElementSpacingAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
TextPathElementStartOffsetAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
TextElementTextLengthAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
TSpanElementTextLengthAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
AltGlyphElementXAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
GlyphRefElementXAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
TextElementXAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
TSpanElementXAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
AltGlyphElementHrefAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
GlyphRefElementHrefAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
TextPathElementHrefAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
TRefElementHrefAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
AltGlyphElementYAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
GlyphRefElementYAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
TextElementYAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
TSpanElementYAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
ForeignObjectElementHeightAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
ForeignObjectElementWidthAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
ForeignObjectElementXAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
ForeignObjectElementYAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
ColorProfileElementLocalAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ColorProfileElementNameAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ColorProfileElementRenderingIntentAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ColorProfileElementHrefAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
MarkerHeightAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
MarkerUnitsAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
MarkerWidthAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
OrientAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
MarkerElementRefXAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
MarkerElementRefYAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
PreserveAspectRatioAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
TransformAttribute	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
